S_id,Type,Name,Location_ID
101,1,康華輸出設計中心(臨時公告請至臉書查詢）,1001
102,1,元岡影印店,1002
103,1,聯吉文書有限公司,1003
104,1,馬雅影印,1004
105,1,神彩影像輸出,1005
106,1,飛揚影印店,1006
107,1,吉祥影印社,1007
108,1,印象行影印&圖文輸出,1008
109,1,源豐影印,1009
1010,1,繁星數位影印,10010
1011,1,太學系列-壺冰影印社,10011
1012,1,佳格專業影印,10012
1013,1,台南吉茂數位輸出影印印刷店,10013
1014,1,複製學院影印店-成大店,10014
1015,1,欣達企業(美佳美數位影印),10015
1016,1,忠盈行,10016
1017,1,美捷馨影印店-臺南店,10017
1018,1,冠華數位影印中心 - 成大店,10018
1019,1,元祥行,10019
1020,1,汎美數位输出冲印中心 (FB Digital Enterprise),10020
1021,1,乘漢影印行,10021
1022,1,經典數位印刷 台南站前店,10022
1023,1,PO Line Copy,10023
1024,1,柔梅影印社,10024
1025,1,創義印務設計庇護工場 Chongyi Sheltered Workshop,10025
1026,1,金池塘影印店,10026
1027,1,大友數位影印,10027
1028,1,佳利影印,10028
1029,1,鴻展大圖輸出社 HOMEPRO REPROGRAPHICS & DATA PROCESSING CO.,10029
1030,1,富辰創意印刷,10030
1031,1,台一影印,10031
1032,1,順天綜合印刷廠,10032
1033,1,美文資料輸出中心,10033
1034,1,複製館影印店- 東平店,10034
1035,1,華特圖文輸出店,10035
1036,1,享印設計輸出中心,10036
1037,1,本田影印,10037
1038,1,歐克影印店,10038
1039,1,東鵬影印,10039
1040,1,立地印刷社,10040
1041,1,彩映印刷輸出中心,10041
1042,1,晉昌印刷(晉昌號),10042
1043,1,履樂影印,10043
1044,1,苑美彩色輸出中心,10044
1045,1,宏彩圖文輸出中心,10045
1046,1,嘉成影印,10046
1047,1,鼎雅印刷,10047
1048,1,金佰達輸出中心,10048
1049,1,立台彩色印刷企業股份有限公司,10049
1050,1,快捷利數位影像科技有限公司,10050
1051,1,Yingyin Station,10051
1052,1,捷印站影印店,10052
1053,1,東南打字行,10053
1054,1,展晟全方位圖文輸出有限公司-(台南健康店),10054
1055,1,天德行股份有限公司,10055
1056,1,豐生打字印刷社 欣鹿書房,10056
1057,1,華彩大圖輸出廣告設計(東門店),10057
1058,1,南一複印有限公司,10058
1059,1,欣格數位印刷,10059
1060,1,盈利印刷,10060
1061,1,元岡影印店,10061
1062,1,印象行影印&圖文輸出,10062
1063,1,飛揚影印店,10063
1064,1,捷印站影印店,10064
1065,1,乘漢影印行,10065
1066,1,聯吉文書有限公司,10066
1067,1,複製學院影印店-成大店,10067
1068,1,冠華數位影印中心 - 成大店,10068
1069,1,Yingyin Station,10069
1070,1,台南吉茂數位輸出影印印刷店,10070
1071,1,8點圖書文具生活廣場(領航者圖文百貨有限公司),10071
1072,1,展晟全方位圖文輸出有限公司-(台南健康店),10072
1073,1,本田影印,10073
1074,1,美捷馨影印店-臺南店,10074
1075,1,旋轉木馬燙金喜帖Love wins,10075
1076,1,經典數位印刷 台南站前店,10076
1077,1,大友數位影印,10077
1078,1,全丞數位印刷,10078
1079,1,美文資料輸出中心,10079
1080,1,順天綜合印刷廠,10080
1081,1,昱慶特殊印刷股份有限公司,10081
1082,1,IMIN Tainan,10082
1083,1,"南台彩藝股份有限公司 NTI PRINTING CO., LTD.",10083
1084,1,Shin Kong Mitsukoshi Tainan Zhongshan Store,10084
1085,1,RT-Mart Tainan Store,10085
1086,1,Shin Kong Mitsukoshi Tainan Ximen Store,10086
1087,1,COSTCO Tainan Store,10087
1088,1,加州安全帽專賣店,10088
1089,1,Shin Kong Mitsukoshi Tainan Fun Centre,10089
1090,1,原印文創股份有限公司,10090
1091,1,印象行影印&圖文輸出,10091
1092,1,源豐影印,10092
1093,1,元岡影印店,10093
1094,1,神彩影像輸出,10094
1095,1,元祥行,10095
1096,1,吉祥影印社,10096
1097,1,馬雅影印,10097
1098,1,太學系列-壺冰影印社,10098
1099,1,繁星數位影印,10099
10100,1,汎美數位输出冲印中心 (FB Digital Enterprise),100100
10101,1,經典數位印刷 台南站前店,100101
10102,1,飛揚影印店,100102
10103,1,康華輸出設計中心(臨時公告請至臉書查詢）,100103
10104,1,聯吉文書有限公司,100104
10105,1,創義印務設計庇護工場 Chongyi Sheltered Workshop,100105
10106,1,複製學院影印店-成大店,100106
10107,1,欣達企業(美佳美數位影印),100107
10108,1,忠盈行,100108
10109,1,順天綜合印刷廠,100109
10110,1,享印設計輸出中心,100110
10111,1,美捷馨影印店-臺南店,100111
10112,1,Panasonic,100112
